,word,topic_id,weights,word_count
0,hpag1,0,0.034068912117692605,704
1,gene,0,0.021389856755710413,907
2,protein,0,0.02003484320557491,609
3,chag,0,0.012001548586914441,248
4,gastric,0,0.011275648470770422,288
5,pylori,0,0.010743321718931475,333
6,isol,0,0.009969028261711189,269
7,strain,0,0.008904374758033295,316
8,patient,0,0.006871854432830043,230
9,transport,0,0.0062911343399148275,215
10,cell,0,0.006194347657762292,792
11,genom,0,0.006194347657762292,318
12,wa,0,0.005516840882694541,536
13,thi,0,0.005129694154084398,664
14,hypothet,0,0.005129694154084398,110
15,ph,0,0.004839334107626791,122
16,type,0,0.004645760743321719,175
17,present,0,0.004645760743321719,212
18,dna,0,0.004548974061169183,160
19,sequenc,0,0.004452187379016648,246
20,heparin,1,0.038986013986013986,223
21,pubm,1,0.0243006993006993,139
22,deliveri,1,0.02097902097902098,125
23,manuscript,1,0.016433566433566433,98
24,drug,1,0.016258741258741258,104
25,author,1,0.016258741258741258,191
26,absorpt,1,0.011538461538461539,91
27,rout,1,0.008566433566433567,56
28,administr,1,0.007517482517482518,67
29,ufh,1,0.0073426573426573424,42
30,effect,1,0.007167832167832168,249
31,system,1,0.006643356643356644,345
32,enhanc,1,0.006293706293706294,118
33,lmwh,1,0.006293706293706294,36
34,releas,1,0.0057692307692307696,62
35,control,1,0.005419580419580419,167
36,molecular,1,0.005244755244755245,140
37,thi,1,0.005244755244755245,664
38,skin,1,0.005244755244755245,45
39,pharm,1,0.00506993006993007,29
40,human,2,0.025325004220834037,559
41,diseas,2,0.015026169171028196,322
42,host,2,0.01122741853790309,360
43,thi,2,0.010805335134222523,664
44,popul,2,0.010130001688333615,218
45,chang,2,0.009454668242444708,219
46,pylori,2,0.009370251561708594,333
47,microbi,2,0.0087793347965558,300
48,antibiot,2,0.008694918115819687,103
49,organ,2,0.008357251392875232,213
50,effect,2,0.007259834543305757,249
51,microb,2,0.00709100118183353,189
52,affect,2,0.00683775113962519,124
53,ha,2,0.006415667735944623,219
54,select,2,0.006162417693736282,209
55,microbiota,2,0.005909167651527942,269
